movieTitle,director,crewList,castList,producer,companiesList,keywordsList,year,score
avatar,james cameron,"['james cameron', 'james cameron']","['sam worthington', 'zoe saldana', 'sigourney weaver']",jon landau,"['ingenious film partners', 'twentieth century fox film corporation', 'dune entertainment']","['action', 'adventure', 'fantasy']",2009,7.2
pirates of the caribbean: at world's end,gore verbinski,"['ted elliott', 'terry rossio']","['johnny depp', 'orlando bloom', 'keira knightley']",pat sandston,"['walt disney pictures', 'jerry bruckheimer films', 'second mate productions']","['adventure', 'fantasy', 'action']",2007,6.9
spectre,sam mendes,"['john logan', 'john logan', 'ian fleming']","['daniel craig', 'christoph waltz', 'léa seydoux']",michael g. wilson,"['columbia pictures', 'danjaq', 'b24']","['action', 'adventure', 'crime']",2015,6.3
the dark knight rises,christopher nolan,"['christopher nolan', 'christopher nolan', 'jonathan nolan']","['christian bale', 'michael caine', 'gary oldman']",emma thomas,"['legendary pictures', 'warner bros.', 'dc entertainment']","['action', 'crime', 'drama']",2012,7.6
john carter,andrew stanton,"['andrew stanton', 'edgar rice burroughs', 'michael chabon']","['taylor kitsch', 'lynn collins', 'samantha morton']",lindsey collins,['walt disney pictures'],"['action', 'adventure', 'science fiction']",2012,6.1
spider-man 3,sam raimi,"['sam raimi', 'stan lee', 'steve ditko']","['tobey maguire', 'kirsten dunst', 'james franco']",grant curtis,"['columbia pictures', 'laura ziskin productions', 'marvel enterprises']","['fantasy', 'action', 'adventure']",2007,5.9
tangled,nathan greno,"['jacob grimm', 'wilhelm grimm', 'dan fogelman']","['zachary levi', 'mandy moore', 'donna murphy']",roy conli,"['walt disney pictures', 'walt disney animation studios']","['animation', 'family']",2010,7.4
avengers: age of ultron,joss whedon,"['stan lee', 'joss whedon', 'jack kirby']","['robert downey jr.', 'chris hemsworth', 'mark ruffalo']",kevin feige,"['marvel studios', 'prime focus', 'revolution sun studios']","['action', 'adventure', 'science fiction']",2015,7.3
harry potter and the half-blood prince,david yates,"['j.k. rowling', 'steve kloves']","['daniel radcliffe', 'rupert grint', 'emma watson']",tim lewis,"['warner bros.', 'heyday films']","['adventure', 'fantasy', 'family']",2009,7.4
batman v superman: dawn of justice,zack snyder,"['david s. goyer', 'frank miller', 'bob kane']","['ben affleck', 'henry cavill', 'gal gadot']",deborah snyder,"['dc comics', 'atlas entertainment', 'warner bros.']","['action', 'adventure', 'fantasy']",2016,5.7
superman returns,bryan singer,"['bryan singer', 'michael dougherty', 'michael dougherty']","['brandon routh', 'kevin spacey', 'kate bosworth']",bryan singer,"['dc comics', 'legendary pictures', 'warner bros.']","['adventure', 'fantasy', 'action']",2006,5.4
quantum of solace,marc forster,"['paul haggis', 'ian fleming', 'robert wade']","['daniel craig', 'olga kurylenko', 'mathieu amalric']",michael g. wilson,['eon productions'],"['adventure', 'action', 'thriller']",2008,6.1
pirates of the caribbean: dead man's chest,gore verbinski,"['ted elliott', 'ted elliott', 'terry rossio']","['johnny depp', 'orlando bloom', 'keira knightley']",pat sandston,"['walt disney pictures', 'jerry bruckheimer films', 'second mate productions']","['adventure', 'fantasy', 'action']",2006,7.0
the lone ranger,gore verbinski,"['ted elliott', 'terry rossio', 'justin haythe']","['johnny depp', 'armie hammer', 'william fichtner']",jerry bruckheimer,"['walt disney pictures', 'jerry bruckheimer films', 'infinitum nihil']","['action', 'adventure', 'western']",2013,5.9
man of steel,zack snyder,"['christopher nolan', 'david s. goyer', 'david s. goyer']","['henry cavill', 'amy adams', 'michael shannon']",deborah snyder,"['legendary pictures', 'warner bros.', 'dc entertainment']","['action', 'adventure', 'fantasy']",2013,6.5
the chronicles of narnia: prince caspian,andrew adamson,"['andrew adamson', 'c. s. lewis', 'christopher markus']","['ben barnes', 'william moseley', 'anna popplewell']",philip steuer,"['walt disney', 'walden media', 'stillking films']","['adventure', 'family', 'fantasy']",2008,6.3
the avengers,joss whedon,"['stan lee', 'joss whedon', 'joss whedon']","['robert downey jr.', 'chris evans', 'mark ruffalo']",kevin feige,"['paramount pictures', 'marvel studios']","['science fiction', 'action', 'adventure']",2012,7.4
pirates of the caribbean: on stranger tides,rob marshall,"['ted elliott', 'terry rossio']","['johnny depp', 'penélope cruz', 'ian mcshane']",jerry bruckheimer,"['walt disney pictures', 'jerry bruckheimer films', 'moving picture company (mpc)']","['adventure', 'action', 'fantasy']",2011,6.4
men in black 3,barry sonnenfeld,"['lowell cunningham', 'etan cohen']","['will smith', 'tommy lee jones', 'josh brolin']",laurie macdonald,"['amblin entertainment', 'media magik entertainment', 'imagenation abu dhabi fz']","['action', 'comedy', 'science fiction']",2012,6.2
the hobbit: the battle of the five armies,peter jackson,"['peter jackson', 'j.r.r. tolkien', 'fran walsh']","['martin freeman', 'ian mckellen', 'richard armitage']",zane weiner,"['wingnut films', 'new line cinema', 'warner bros. pictures']","['action', 'adventure', 'fantasy']",2014,7.1
the amazing spider-man,marc webb,"['stan lee', 'steve ditko', 'alvin sargent']","['andrew garfield', 'emma stone', 'rhys ifans']",matt tolmach,"['columbia pictures', 'laura ziskin productions', 'marvel entertainment']","['action', 'adventure', 'fantasy']",2012,6.5
robin hood,ridley scott,['brian helgeland'],"['russell crowe', 'cate blanchett', 'max von sydow']",russell crowe,"['imagine entertainment', 'universal pictures', 'scott free productions']","['action', 'adventure']",2010,6.2
the hobbit: the desolation of smaug,peter jackson,"['peter jackson', 'j.r.r. tolkien', 'fran walsh']","['martin freeman', 'ian mckellen', 'richard armitage']",zane weiner,"['wingnut films', 'new line cinema', 'warner bros. pictures']","['adventure', 'fantasy']",2013,7.6
the golden compass,chris weitz,"['chris weitz', 'philip pullman']","['dakota blue richards', 'nicole kidman', 'daniel craig']",deborah forte,"['new line cinema', 'ingenious film partners', 'depth of field']","['adventure', 'fantasy']",2007,5.8
king kong,peter jackson,"['peter jackson', 'fran walsh', 'philippa boyens']","['naomi watts', 'jack black', 'adrien brody']",carolynne cunningham,"['wingnut films', 'universal pictures', 'big primate pictures']","['adventure', 'drama', 'action']",2005,6.6
titanic,james cameron,['james cameron'],"['kate winslet', 'leonardo dicaprio', 'frances fisher']",jon landau,"['paramount pictures', 'twentieth century fox film corporation', 'lightstorm entertainment']","['drama', 'romance', 'thriller']",1997,7.5
captain america: civil war,joe russo,"['christopher markus', 'stephen mcfeely', 'jack kirby']","['chris evans', 'robert downey jr.', 'scarlett johansson']",kevin feige,"['studio babelsberg', 'marvel studios', 'walt disney studios motion pictures']","['adventure', 'action', 'science fiction']",2016,7.1
battleship,peter berg,"['erich hoeber', 'jon hoeber']","['taylor kitsch', 'alexander skarsgård', 'rihanna']",bennett schneir,"['universal pictures', 'hasbro', 'bluegrass films']","['thriller', 'action', 'adventure']",2012,5.5
jurassic world,colin trevorrow,"['michael crichton', 'rick jaffa', 'rick jaffa']","['chris pratt', 'bryce dallas howard', 'irrfan khan']",patrick crowley,"['universal studios', 'amblin entertainment', 'legendary pictures']","['action', 'adventure', 'science fiction']",2015,6.5
skyfall,sam mendes,"['john logan', 'ian fleming', 'robert wade']","['daniel craig', 'judi dench', 'javier bardem']",michael g. wilson,['columbia pictures'],"['action', 'adventure', 'thriller']",2012,6.9
spider-man 2,sam raimi,"['stan lee', 'steve ditko', 'alvin sargent']","['tobey maguire', 'kirsten dunst', 'james franco']",lorne orleans,"['columbia pictures', 'laura ziskin productions', 'marvel enterprises']","['action', 'adventure', 'fantasy']",2004,6.7
iron man 3,shane black,"['shane black', 'stan lee', 'jack kirby']","['robert downey jr.', 'gwyneth paltrow', 'don cheadle']",kevin feige,['marvel studios'],"['action', 'adventure', 'science fiction']",2013,6.8
alice in wonderland,tim burton,"['linda woolverton', 'lewis carroll', 'michael schlingmann']","['mia wasikowska', 'johnny depp', 'anne hathaway']",tom c. peitzman,"['walt disney pictures', 'team todd', 'tim burton productions']","['family', 'fantasy', 'adventure']",2010,6.4
x-men: the last stand,brett ratner,"['simon kinberg', 'zak penn']","['hugh jackman', 'halle berry', 'ian mckellen']",avi arad,"['ingenious film partners', 'twentieth century fox film corporation', ""donners' company""]","['adventure', 'action', 'science fiction']",2006,6.3
monsters university,dan scanlon,"['daniel gerson', 'robert l. baird', 'dan scanlon']","['billy crystal', 'john goodman', 'steve buscemi']",kori rae,"['walt disney pictures', 'pixar animation studios']","['animation', 'family']",2013,7.0
transformers: revenge of the fallen,michael bay,['ehren kruger'],"['shia labeouf', 'megan fox', 'josh duhamel']",tom desanto,"['paramount pictures', 'dreamworks skg', 'amblin entertainment']","['science fiction', 'action', 'adventure']",2009,6.0
transformers: age of extinction,michael bay,['ehren kruger'],"['mark wahlberg', 'stanley tucci', 'kelsey grammer']",tom desanto,"['paramount pictures', 'amblin entertainment', 'di bonaventura pictures']","['science fiction', 'action', 'adventure']",2014,5.8
oz: the great and powerful,sam raimi,"['l. frank baum', 'mitchell kapner', 'david lindsay-abaire']","['james franco', 'mila kunis', 'rachel weisz']",joe roth,"['walt disney pictures', 'roth films']","['fantasy', 'adventure', 'family']",2013,5.7
the amazing spider-man 2,marc webb,"['stan lee', 'steve ditko', 'alex kurtzman']","['andrew garfield', 'emma stone', 'jamie foxx']",matt tolmach,"['columbia pictures', 'marvel enterprises', 'avi arad productions']","['action', 'adventure', 'fantasy']",2014,6.5
tron: legacy,joseph kosinski,"['steven lisberger', 'richard jefferies', 'edward kitsis']","['garrett hedlund', 'jeff bridges', 'olivia wilde']",sean bailey,"['walt disney pictures', 'liveplanet', 'prana studios']","['adventure', 'action', 'science fiction']",2010,6.3
cars 2,brad lewis,"['john lasseter', 'dan fogelman', 'brad lewis']","['owen wilson', 'larry the cable guy', 'michael caine']",denise ream,"['walt disney pictures', 'pixar animation studios']","['animation', 'family', 'adventure']",2011,5.8
green lantern,martin campbell,"['michael goldenberg', 'greg berlanti', 'marc guggenheim']","['ryan reynolds', 'blake lively', 'peter sarsgaard']",geoff johns,"['de line pictures', 'warner bros.', 'dc entertainment']","['adventure', 'action', 'thriller']",2011,5.1
toy story 3,lee unkrich,"['andrew stanton', 'lee unkrich', 'john lasseter']","['tom hanks', 'tim allen', 'ned beatty']",darla k. anderson,"['walt disney pictures', 'pixar animation studios']","['animation', 'family', 'comedy']",2010,7.6
terminator salvation,mcg,"['john d. brancato', 'michael ferris', 'steven e. gordon']","['christian bale', 'sam worthington', 'anton yelchin']",victor kubicek,"['columbia pictures', 'the halcyon company', 'wonderland sound and vision']","['action', 'science fiction', 'thriller']",2009,5.9
furious 7,james wan,"['gary scott thompson', 'chris morgan']","['vin diesel', 'paul walker', 'dwayne johnson']",brandon birtell,"['universal pictures', 'original film', 'fuji television network']",['action'],2015,7.3
world war z,marc forster,"['j. michael straczynski', 'matthew michael carnahan', 'matthew michael carnahan']","['brad pitt', 'mireille enos', 'abigail hargrove']",jeremy kleiner,"['paramount pictures', 'gk films', 'skydance productions']","['action', 'drama', 'horror']",2013,6.7
x-men: days of future past,bryan singer,"['matthew vaughn', 'simon kinberg', 'simon kinberg']","['hugh jackman', 'james mcavoy', 'michael fassbender']",hutch parker,"['twentieth century fox film corporation', ""donners' company"", 'marvel entertainment']","['action', 'adventure', 'fantasy']",2014,7.5
star trek into darkness,j.j. abrams,"['gene roddenberry', 'alex kurtzman', 'roberto orci']","['chris pine', 'zachary quinto', 'zoe saldana']",damon lindelof,"['paramount pictures', 'skydance productions', 'bad robot']","['action', 'adventure', 'science fiction']",2013,7.4
jack the giant slayer,bryan singer,"['christopher mcquarrie', 'david dobkin', 'dan studney']","['nicholas hoult', 'eleanor tomlinson', 'ewan mcgregor']",david dobkin,"['new line cinema', 'original film', 'legendary pictures']","['action', 'family', 'fantasy']",2013,5.5
the great gatsby,baz luhrmann,"['baz luhrmann', 'craig pearce', 'f. scott fitzgerald']","['leonardo dicaprio', 'tobey maguire', 'carey mulligan']",lucy fisher,"['village roadshow pictures', 'bazmark films', 'warner bros.']","['drama', 'romance']",2013,7.3
